chars,fontSize,width,tracking,fontWeight
AA,12,15,-60,SFProText-Regular
AB,12,15,-60,SFProText-Regular
AC,12,15,-60,SFProText-Regular
AD,12,16,-60,SFProText-Regular
AE,12,14,-60,SFProText-Regular
AF,12,14,-60,SFProText-Regular
AG,12,16,-60,SFProText-Regular
AH,12,15,-60,SFProText-Regular
AI,12,10,-60,SFProText-Regular
AJ,12,13,-60,SFProText-Regular
AK,12,15,-60,SFProText-Regular
AL,12,14,-60,SFProText-Regular
AM,12,17,-60,SFProText-Regular
AN,12,15,-60,SFProText-Regular
AO,12,16,-60,SFProText-Regular
AP,12,15,-60,SFProText-Regular
AQ,12,16,-60,SFProText-Regular
AR,12,15,-60,SFProText-Regular
AS,12,15,-60,SFProText-Regular
AT,12,14,-60,SFProText-Regular
AU,12,15,-60,SFProText-Regular
AV,12,15,-60,SFProText-Regular
AW,12,18,-60,SFProText-Regular
AX,12,15,-60,SFProText-Regular
AY,12,14,-60,SFProText-Regular
AZ,12,15,-60,SFProText-Regular
Aa,12,13,-60,SFProText-Regular
Ab,12,14,-60,SFProText-Regular
Ac,12,14,-60,SFProText-Regular
Ad,12,14,-60,SFProText-Regular
Ae,12,14,-60,SFProText-Regular
Af,12,12,-60,SFProText-Regular
Ag,12,14,-60,SFProText-Regular
Ah,12,14,-60,SFProText-Regular
Ai,12,10,-60,SFProText-Regular
Aj,12,10,-60,SFProText-Regular
Ak,12,14,-60,SFProText-Regular
Al,12,10,-60,SFProText-Regular
Am,12,17,-60,SFProText-Regular
An,12,14,-60,SFProText-Regular
Ao,12,14,-60,SFProText-Regular
Ap,12,14,-60,SFProText-Regular
Aq,12,14,-60,SFProText-Regular
Ar,12,12,-60,SFProText-Regular
As,12,13,-60,SFProText-Regular
At,12,11,-60,SFProText-Regular
Au,12,13,-60,SFProText-Regular
Av,12,13,-60,SFProText-Regular
Aw,12,16,-60,SFProText-Regular
Ax,12,13,-60,SFProText-Regular
Ay,12,13,-60,SFProText-Regular
Az,12,13,-60,SFProText-Regular
BA,12,14,-60,SFProText-Regular
BB,12,14,-60,SFProText-Regular
BC,12,15,-60,SFProText-Regular
BD,12,15,-60,SFProText-Regular
BE,12,13,-60,SFProText-Regular
BF,12,13,-60,SFProText-Regular
BG,12,15,-60,SFProText-Regular
BH,12,14,-60,SFProText-Regular
BI,12,9,-60,SFProText-Regular
BJ,12,12,-60,SFProText-Regular
BK,12,14,-60,SFProText-Regular
BL,12,13,-60,SFProText-Regular
BM,12,16,-60,SFProText-Regular
BN,12,14,-60,SFProText-Regular
BO,12,15,-60,SFProText-Regular
BP,12,14,-60,SFProText-Regular
BQ,12,15,-60,SFProText-Regular
BR,12,14,-60,SFProText-Regular
BS,12,14,-60,SFProText-Regular
BT,12,14,-60,SFProText-Regular
BU,12,14,-60,SFProText-Regular
BV,12,14,-60,SFProText-Regular
BW,12,18,-60,SFProText-Regular
BX,12,14,-60,SFProText-Regular
BY,12,14,-60,SFProText-Regular
BZ,12,14,-60,SFProText-Regular
Ba,12,12,-60,SFProText-Regular
Bb,12,13,-60,SFProText-Regular
Bc,12,13,-60,SFProText-Regular
Bd,12,13,-60,SFProText-Regular
Be,12,13,-60,SFProText-Regular
Bf,12,11,-60,SFProText-Regular
Bg,12,13,-60,SFProText-Regular
Bh,12,13,-60,SFProText-Regular
Bi,12,9,-60,SFProText-Regular
Bj,12,9,-60,SFProText-Regular
Bk,12,13,-60,SFProText-Regular
Bl,12,9,-60,SFProText-Regular
Bm,12,16,-60,SFProText-Regular
Bn,12,13,-60,SFProText-Regular
Bo,12,13,-60,SFProText-Regular
Bp,12,13,-60,SFProText-Regular
Bq,12,13,-60,SFProText-Regular
Br,12,11,-60,SFProText-Regular
Bs,12,12,-60,SFProText-Regular
Bt,12,10,-60,SFProText-Regular
Bu,12,13,-60,SFProText-Regular
Bv,12,13,-60,SFProText-Regular
Bw,12,16,-60,SFProText-Regular
Bx,12,12,-60,SFProText-Regular
By,12,13,-60,SFProText-Regular
Bz,12,12,-60,SFProText-Regular
CA,12,16,-60,SFProText-Regular
CB,12,15,-60,SFProText-Regular
CC,12,16,-60,SFProText-Regular
CD,12,16,-60,SFProText-Regular
CE,12,14,-60,SFProText-Regular
CF,12,14,-60,SFProText-Regular
CG,12,16,-60,SFProText-Regular
CH,12,16,-60,SFProText-Regular
CI,12,10,-60,SFProText-Regular
CJ,12,14,-60,SFProText-Regular
CK,12,16,-60,SFProText-Regular
CL,12,14,-60,SFProText-Regular
CM,12,18,-60,SFProText-Regular
CN,12,16,-60,SFProText-Regular
CO,12,17,-60,SFProText-Regular
CP,12,15,-60,SFProText-Regular
CQ,12,17,-60,SFProText-Regular
CR,12,15,-60,SFProText-Regular
CS,12,15,-60,SFProText-Regular
CT,12,15,-60,SFProText-Regular
CU,12,16,-60,SFProText-Regular
CV,12,16,-60,SFProText-Regular
CW,12,19,-60,SFProText-Regular
CX,12,16,-60,SFProText-Regular
CY,12,16,-60,SFProText-Regular
CZ,12,15,-60,SFProText-Regular
Ca,12,14,-60,SFProText-Regular
Cb,12,15,-60,SFProText-Regular
Cc,12,14,-60,SFProText-Regular
Cd,12,14,-60,SFProText-Regular
Ce,12,14,-60,SFProText-Regular
Cf,12,12,-60,SFProText-Regular
Cg,12,14,-60,SFProText-Regular
Ch,12,14,-60,SFProText-Regular
Ci,12,10,-60,SFProText-Regular
Cj,12,10,-60,SFProText-Regular
Ck,12,14,-60,SFProText-Regular
Cl,12,10,-60,SFProText-Regular
Cm,12,18,-60,SFProText-Regular
Cn,12,14,-60,SFProText-Regular
Co,12,15,-60,SFProText-Regular
Cp,12,15,-60,SFProText-Regular
Cq,12,14,-60,SFProText-Regular
Cr,12,12,-60,SFProText-Regular
Cs,12,14,-60,SFProText-Regular
Ct,12,12,-60,SFProText-Regular
Cu,12,14,-60,SFProText-Regular
Cv,12,14,-60,SFProText-Regular
Cw,12,17,-60,SFProText-Regular
Cx,12,14,-60,SFProText-Regular
Cy,12,14,-60,SFProText-Regular
Cz,12,14,-60,SFProText-Regular
DA,12,15,-60,SFProText-Regular
DB,12,15,-60,SFProText-Regular
DC,12,15,-60,SFProText-Regular
DD,12,15,-60,SFProText-Regular
DE,12,14,-60,SFProText-Regular
DF,12,14,-60,SFProText-Regular
DG,12,16,-60,SFProText-Regular
DH,12,15,-60,SFProText-Regular
DI,12,10,-60,SFProText-Regular
DJ,12,13,-60,SFProText-Regular
DK,12,15,-60,SFProText-Regular
DL,12,14,-60,SFProText-Regular
DM,12,17,-60,SFProText-Regular
DN,12,15,-60,SFProText-Regular
DO,12,16,-60,SFProText-Regular
DP,12,14,-60,SFProText-Regular
DQ,12,16,-60,SFProText-Regular
DR,12,15,-60,SFProText-Regular
DS,12,14,-60,SFProText-Regular
DT,12,14,-60,SFProText-Regular
DU,12,15,-60,SFProText-Regular
DV,12,15,-60,SFProText-Regular
DW,12,18,-60,SFProText-Regular
DX,12,15,-60,SFProText-Regular
DY,12,14,-60,SFProText-Regular
DZ,12,14,-60,SFProText-Regular
Da,12,13,-60,SFProText-Regular
Db,12,14,-60,SFProText-Regular
Dc,12,14,-60,SFProText-Regular
Dd,12,14,-60,SFProText-Regular
De,12,14,-60,SFProText-Regular
Df,12,11,-60,SFProText-Regular
Dg,12,14,-60,SFProText-Regular
Dh,12,14,-60,SFProText-Regular
Di,12,10,-60,SFProText-Regular
Dj,12,10,-60,SFProText-Regular
Dk,12,14,-60,SFProText-Regular
Dl,12,9,-60,SFProText-Regular
Dm,12,17,-60,SFProText-Regular
Dn,12,13,-60,SFProText-Regular
Do,12,14,-60,SFProText-Regular
Dp,12,14,-60,SFProText-Regular
Dq,12,14,-60,SFProText-Regular
Dr,12,12,-60,SFProText-Regular
Ds,12,13,-60,SFProText-Regular
Dt,12,11,-60,SFProText-Regular
Du,12,13,-60,SFProText-Regular
Dv,12,13,-60,SFProText-Regular
Dw,12,16,-60,SFProText-Regular
Dx,12,13,-60,SFProText-Regular
Dy,12,13,-60,SFProText-Regular
Dz,12,13,-60,SFProText-Regular
EA,12,14,-60,SFProText-Regular
EB,12,13,-60,SFProText-Regular
EC,12,14,-60,SFProText-Regular
ED,12,14,-60,SFProText-Regular
EE,12,12,-60,SFProText-Regular
EF,12,12,-60,SFProText-Regular
EG,12,14,-60,SFProText-Regular
EH,12,14,-60,SFProText-Regular
EI,12,8,-60,SFProText-Regular
EJ,12,11,-60,SFProText-Regular
EK,12,13,-60,SFProText-Regular
EL,12,12,-60,SFProText-Regular
EM,12,15,-60,SFProText-Regular
EN,12,14,-60,SFProText-Regular
EO,12,14,-60,SFProText-Regular
EP,12,13,-60,SFProText-Regular
EQ,12,14,-60,SFProText-Regular
ER,12,13,-60,SFProText-Regular
ES,12,13,-60,SFProText-Regular
ET,12,13,-60,SFProText-Regular
EU,12,14,-60,SFProText-Regular
EV,12,14,-60,SFProText-Regular
EW,12,17,-60,SFProText-Regular
EX,12,13,-60,SFProText-Regular
EY,12,13,-60,SFProText-Regular
EZ,12,13,-60,SFProText-Regular
Ea,12,12,-60,SFProText-Regular
Eb,12,13,-60,SFProText-Regular
Ec,12,12,-60,SFProText-Regular
Ed,12,12,-60,SFProText-Regular
Ee,12,12,-60,SFProText-Regular
Ef,12,10,-60,SFProText-Regular
Eg,12,12,-60,SFProText-Regular
Eh,12,12,-60,SFProText-Regular
Ei,12,8,-60,SFProText-Regular
Ej,12,8,-60,SFProText-Regular
Ek,12,12,-60,SFProText-Regular
El,12,8,-60,SFProText-Regular
Em,12,15,-60,SFProText-Regular
En,12,12,-60,SFProText-Regular
Eo,12,12,-60,SFProText-Regular
Ep,12,13,-60,SFProText-Regular
Eq,12,12,-60,SFProText-Regular
Er,12,10,-60,SFProText-Regular
Es,12,12,-60,SFProText-Regular
Et,12,10,-60,SFProText-Regular
Eu,12,12,-60,SFProText-Regular
Ev,12,12,-60,SFProText-Regular
Ew,12,15,-60,SFProText-Regular
Ex,12,12,-60,SFProText-Regular
Ey,12,12,-60,SFProText-Regular
Ez,12,12,-60,SFProText-Regular
FA,12,13,-60,SFProText-Regular
FB,12,13,-60,SFProText-Regular
FC,12,14,-60,SFProText-Regular
FD,12,14,-60,SFProText-Regular
FE,12,12,-60,SFProText-Regular
FF,12,12,-60,SFProText-Regular
FG,12,14,-60,SFProText-Regular
FH,12,13,-60,SFProText-Regular
FI,12,8,-60,SFProText-Regular
FJ,12,10,-60,SFProText-Regular
FK,12,13,-60,SFProText-Regular
FL,12,12,-60,SFProText-Regular
FM,12,15,-60,SFProText-Regular
FN,12,13,-60,SFProText-Regular
FO,12,14,-60,SFProText-Regular
FP,12,13,-60,SFProText-Regular
FQ,12,14,-60,SFProText-Regular
FR,12,13,-60,SFProText-Regular
FS,12,13,-60,SFProText-Regular
FT,12,13,-60,SFProText-Regular
FU,12,13,-60,SFProText-Regular
FV,12,13,-60,SFProText-Regular
FW,12,17,-60,SFProText-Regular
FX,12,13,-60,SFProText-Regular
FY,12,13,-60,SFProText-Regular
FZ,12,13,-60,SFProText-Regular
Fa,12,11,-60,SFProText-Regular
Fb,12,12,-60,SFProText-Regular
Fc,12,12,-60,SFProText-Regular
Fd,12,12,-60,SFProText-Regular
Fe,12,12,-60,SFProText-Regular
Ff,12,10,-60,SFProText-Regular
Fg,12,12,-60,SFProText-Regular
Fh,12,12,-60,SFProText-Regular
Fi,12,8,-60,SFProText-Regular
Fj,12,8,-60,SFProText-Regular
Fk,12,12,-60,SFProText-Regular
Fl,12,8,-60,SFProText-Regular
Fm,12,15,-60,SFProText-Regular
Fn,12,12,-60,SFProText-Regular
Fo,12,12,-60,SFProText-Regular
Fp,12,12,-60,SFProText-Regular
Fq,12,12,-60,SFProText-Regular
Fr,12,10,-60,SFProText-Regular
Fs,12,11,-60,SFProText-Regular
Ft,12,9,-60,SFProText-Regular
Fu,12,12,-60,SFProText-Regular
Fv,12,12,-60,SFProText-Regular
Fw,12,15,-60,SFProText-Regular
Fx,12,11,-60,SFProText-Regular
Fy,12,12,-60,SFProText-Regular
Fz,12,11,-60,SFProText-Regular
GA,12,16,-60,SFProText-Regular
GB,12,16,-60,SFProText-Regular
GC,12,17,-60,SFProText-Regular
GD,12,17,-60,SFProText-Regular
GE,12,15,-60,SFProText-Regular
GF,12,15,-60,SFProText-Regular
GG,12,17,-60,SFProText-Regular
GH,12,16,-60,SFProText-Regular
GI,12,11,-60,SFProText-Regular
GJ,12,14,-60,SFProText-Regular
GK,12,16,-60,SFProText-Regular
GL,12,15,-60,SFProText-Regular
GM,12,18,-60,SFProText-Regular
GN,12,16,-60,SFProText-Regular
GO,12,17,-60,SFProText-Regular
GP,12,16,-60,SFProText-Regular
GQ,12,17,-60,SFProText-Regular
GR,12,16,-60,SFProText-Regular
GS,12,16,-60,SFProText-Regular
GT,12,15,-60,SFProText-Regular
GU,12,16,-60,SFProText-Regular
GV,12,16,-60,SFProText-Regular
GW,12,20,-60,SFProText-Regular
GX,12,16,-60,SFProText-Regular
GY,12,16,-60,SFProText-Regular
GZ,12,16,-60,SFProText-Regular
Ga,12,14,-60,SFProText-Regular
Gb,12,15,-60,SFProText-Regular
Gc,12,15,-60,SFProText-Regular
Gd,12,15,-60,SFProText-Regular
Ge,12,15,-60,SFProText-Regular
Gf,12,13,-60,SFProText-Regular
Gg,12,15,-60,SFProText-Regular
Gh,12,15,-60,SFProText-Regular
Gi,12,11,-60,SFProText-Regular
Gj,12,11,-60,SFProText-Regular
Gk,12,15,-60,SFProText-Regular
Gl,12,11,-60,SFProText-Regular
Gm,12,18,-60,SFProText-Regular
Gn,12,15,-60,SFProText-Regular
Go,12,15,-60,SFProText-Regular
Gp,12,15,-60,SFProText-Regular
Gq,12,15,-60,SFProText-Regular
Gr,12,13,-60,SFProText-Regular
Gs,12,14,-60,SFProText-Regular
Gt,12,12,-60,SFProText-Regular
Gu,12,15,-60,SFProText-Regular
Gv,12,15,-60,SFProText-Regular
Gw,12,18,-60,SFProText-Regular
Gx,12,14,-60,SFProText-Regular
Gy,12,15,-60,SFProText-Regular
Gz,12,14,-60,SFProText-Regular
HA,12,15,-60,SFProText-Regular
HB,12,15,-60,SFProText-Regular
HC,12,16,-60,SFProText-Regular
HD,12,16,-60,SFProText-Regular
HE,12,14,-60,SFProText-Regular
HF,12,14,-60,SFProText-Regular
HG,12,16,-60,SFProText-Regular
HH,12,15,-60,SFProText-Regular
HI,12,10,-60,SFProText-Regular
HJ,12,13,-60,SFProText-Regular
HK,12,15,-60,SFProText-Regular
HL,12,14,-60,SFProText-Regular
HM,12,17,-60,SFProText-Regular
HN,12,15,-60,SFProText-Regular
HO,12,16,-60,SFProText-Regular
HP,12,15,-60,SFProText-Regular
HQ,12,16,-60,SFProText-Regular
HR,12,15,-60,SFProText-Regular
HS,12,15,-60,SFProText-Regular
HT,12,15,-60,SFProText-Regular
HU,12,15,-60,SFProText-Regular
HV,12,15,-60,SFProText-Regular
HW,12,19,-60,SFProText-Regular
HX,12,15,-60,SFProText-Regular
HY,12,15,-60,SFProText-Regular
HZ,12,15,-60,SFProText-Regular
Ha,12,13,-60,SFProText-Regular
Hb,12,14,-60,SFProText-Regular
Hc,12,14,-60,SFProText-Regular
Hd,12,14,-60,SFProText-Regular
He,12,14,-60,SFProText-Regular
Hf,12,12,-60,SFProText-Regular
Hg,12,14,-60,SFProText-Regular
Hh,12,14,-60,SFProText-Regular
Hi,12,10,-60,SFProText-Regular
Hj,12,10,-60,SFProText-Regular
Hk,12,14,-60,SFProText-Regular
Hl,12,10,-60,SFProText-Regular
Hm,12,17,-60,SFProText-Regular
Hn,12,14,-60,SFProText-Regular
Ho,12,14,-60,SFProText-Regular
Hp,12,14,-60,SFProText-Regular
Hq,12,14,-60,SFProText-Regular
Hr,12,12,-60,SFProText-Regular
Hs,12,13,-60,SFProText-Regular
Ht,12,11,-60,SFProText-Regular
Hu,12,14,-60,SFProText-Regular
Hv,12,14,-60,SFProText-Regular
Hw,12,17,-60,SFProText-Regular
Hx,12,13,-60,SFProText-Regular
Hy,12,14,-60,SFProText-Regular
Hz,12,13,-60,SFProText-Regular
IA,12,10,-60,SFProText-Regular
IB,12,9,-60,SFProText-Regular
IC,12,10,-60,SFProText-Regular
ID,12,10,-60,SFProText-Regular
IE,12,8,-60,SFProText-Regular
IF,12,8,-60,SFProText-Regular
IG,12,10,-60,SFProText-Regular
IH,12,10,-60,SFProText-Regular
II,12,4,-60,SFProText-Regular
IJ,12,7,-60,SFProText-Regular
IK,12,9,-60,SFProText-Regular
IL,12,8,-60,SFProText-Regular
IM,12,11,-60,SFProText-Regular
IN,12,10,-60,SFProText-Regular
IO,12,10,-60,SFProText-Regular
IP,12,9,-60,SFProText-Regular
IQ,12,10,-60,SFProText-Regular
IR,12,9,-60,SFProText-Regular
IS,12,9,-60,SFProText-Regular
IT,12,9,-60,SFProText-Regular
IU,12,10,-60,SFProText-Regular
IV,12,10,-60,SFProText-Regular
IW,12,13,-60,SFProText-Regular
IX,12,9,-60,SFProText-Regular
IY,12,9,-60,SFProText-Regular
IZ,12,9,-60,SFProText-Regular
Ia,12,8,-60,SFProText-Regular
Ib,12,9,-60,SFProText-Regular
Ic,12,8,-60,SFProText-Regular
Id,12,8,-60,SFProText-Regular
Ie,12,8,-60,SFProText-Regular
If,12,6,-60,SFProText-Regular
Ig,12,8,-60,SFProText-Regular
Ih,12,8,-60,SFProText-Regular
Ii,12,4,-60,SFProText-Regular
Ij,12,4,-60,SFProText-Regular
Ik,12,8,-60,SFProText-Regular
Il,12,4,-60,SFProText-Regular
Im,12,11,-60,SFProText-Regular
In,12,8,-60,SFProText-Regular
Io,12,8,-60,SFProText-Regular
Ip,12,9,-60,SFProText-Regular
Iq,12,8,-60,SFProText-Regular
Ir,12,6,-60,SFProText-Regular
Is,12,8,-60,SFProText-Regular
It,12,6,-60,SFProText-Regular
Iu,12,8,-60,SFProText-Regular
Iv,12,8,-60,SFProText-Regular
Iw,12,11,-60,SFProText-Regular
Ix,12,8,-60,SFProText-Regular
Iy,12,8,-60,SFProText-Regular
Iz,12,8,-60,SFProText-Regular
JA,12,14,-60,SFProText-Regular
JB,12,13,-60,SFProText-Regular
JC,12,14,-60,SFProText-Regular
JD,12,14,-60,SFProText-Regular
JE,12,12,-60,SFProText-Regular
JF,12,12,-60,SFProText-Regular
JG,12,14,-60,SFProText-Regular
JH,12,14,-60,SFProText-Regular
JI,12,8,-60,SFProText-Regular
JJ,12,12,-60,SFProText-Regular
JK,12,14,-60,SFProText-Regular
JL,12,12,-60,SFProText-Regular
JM,12,16,-60,SFProText-Regular
JN,12,14,-60,SFProText-Regular
JO,12,15,-60,SFProText-Regular
JP,12,13,-60,SFProText-Regular
JQ,12,15,-60,SFProText-Regular
JR,12,13,-60,SFProText-Regular
JS,12,13,-60,SFProText-Regular
JT,12,13,-60,SFProText-Regular
JU,12,14,-60,SFProText-Regular
JV,12,14,-60,SFProText-Regular
JW,12,17,-60,SFProText-Regular
JX,12,14,-60,SFProText-Regular
JY,12,14,-60,SFProText-Regular
JZ,12,13,-60,SFProText-Regular
Ja,12,12,-60,SFProText-Regular
Jb,12,13,-60,SFProText-Regular
Jc,12,12,-60,SFProText-Regular
Jd,12,12,-60,SFProText-Regular
Je,12,12,-60,SFProText-Regular
Jf,12,10,-60,SFProText-Regular
Jg,12,12,-60,SFProText-Regular
Jh,12,12,-60,SFProText-Regular
Ji,12,8,-60,SFProText-Regular
Jj,12,8,-60,SFProText-Regular
Jk,12,12,-60,SFProText-Regular
Jl,12,8,-60,SFProText-Regular
Jm,12,16,-60,SFProText-Regular
Jn,12,12,-60,SFProText-Regular
Jo,12,13,-60,SFProText-Regular
Jp,12,13,-60,SFProText-Regular
Jq,12,12,-60,SFProText-Regular
Jr,12,10,-60,SFProText-Regular
Js,12,12,-60,SFProText-Regular
Jt,12,10,-60,SFProText-Regular
Ju,12,12,-60,SFProText-Regular
Jv,12,12,-60,SFProText-Regular
Jw,12,15,-60,SFProText-Regular
Jx,12,12,-60,SFProText-Regular
Jy,12,12,-60,SFProText-Regular
Jz,12,12,-60,SFProText-Regular
KA,12,14,-60,SFProText-Regular
KB,12,14,-60,SFProText-Regular
KC,12,14,-60,SFProText-Regular
KD,12,15,-60,SFProText-Regular
KE,12,13,-60,SFProText-Regular
KF,12,13,-60,SFProText-Regular
KG,12,14,-60,SFProText-Regular
KH,12,14,-60,SFProText-Regular
KI,12,9,-60,SFProText-Regular
KJ,12,12,-60,SFProText-Regular
KK,12,14,-60,SFProText-Regular
KL,12,13,-60,SFProText-Regular
KM,12,16,-60,SFProText-Regular
KN,12,14,-60,SFProText-Regular
KO,12,15,-60,SFProText-Regular
KP,12,14,-60,SFProText-Regular
KQ,12,15,-60,SFProText-Regular
KR,12,14,-60,SFProText-Regular
KS,12,13,-60,SFProText-Regular
KT,12,14,-60,SFProText-Regular
KU,12,14,-60,SFProText-Regular
KV,12,14,-60,SFProText-Regular
KW,12,18,-60,SFProText-Regular
KX,12,14,-60,SFProText-Regular
KY,12,14,-60,SFProText-Regular
KZ,12,14,-60,SFProText-Regular
Ka,12,12,-60,SFProText-Regular
Kb,12,13,-60,SFProText-Regular
Kc,12,12,-60,SFProText-Regular
Kd,12,12,-60,SFProText-Regular
Ke,12,12,-60,SFProText-Regular
Kf,12,10,-60,SFProText-Regular
Kg,12,12,-60,SFProText-Regular
Kh,12,13,-60,SFProText-Regular
Ki,12,9,-60,SFProText-Regular
Kj,12,9,-60,SFProText-Regular
Kk,12,13,-60,SFProText-Regular
Kl,12,9,-60,SFProText-Regular
Km,12,16,-60,SFProText-Regular
Kn,12,13,-60,SFProText-Regular
Ko,12,13,-60,SFProText-Regular
Kp,12,13,-60,SFProText-Regular
Kq,12,12,-60,SFProText-Regular
Kr,12,11,-60,SFProText-Regular
Ks,12,12,-60,SFProText-Regular
Kt,12,10,-60,SFProText-Regular
Ku,12,12,-60,SFProText-Regular
Kv,12,12,-60,SFProText-Regular
Kw,12,15,-60,SFProText-Regular
Kx,12,12,-60,SFProText-Regular
Ky,12,12,-60,SFProText-Regular
Kz,12,12,-60,SFProText-Regular
LA,12,13,-60,SFProText-Regular
LB,12,13,-60,SFProText-Regular
LC,12,13,-60,SFProText-Regular
LD,12,13,-60,SFProText-Regular
LE,12,12,-60,SFProText-Regular
LF,12,12,-60,SFProText-Regular
LG,12,13,-60,SFProText-Regular
LH,12,13,-60,SFProText-Regular
LI,12,8,-60,SFProText-Regular
LJ,12,11,-60,SFProText-Regular
LK,12,13,-60,SFProText-Regular
LL,12,12,-60,SFProText-Regular
LM,12,15,-60,SFProText-Regular
LN,12,13,-60,SFProText-Regular
LO,12,14,-60,SFProText-Regular
LP,12,12,-60,SFProText-Regular
LQ,12,14,-60,SFProText-Regular
LR,12,13,-60,SFProText-Regular
LS,12,12,-60,SFProText-Regular
LT,12,11,-60,SFProText-Regular
LU,12,13,-60,SFProText-Regular
LV,12,12,-60,SFProText-Regular
LW,12,16,-60,SFProText-Regular
LX,12,13,-60,SFProText-Regular
LY,12,12,-60,SFProText-Regular
LZ,12,12,-60,SFProText-Regular
La,12,11,-60,SFProText-Regular
Lb,12,12,-60,SFProText-Regular
Lc,12,11,-60,SFProText-Regular
Ld,12,11,-60,SFProText-Regular
Le,12,11,-60,SFProText-Regular
Lf,12,9,-60,SFProText-Regular
Lg,12,11,-60,SFProText-Regular
Lh,12,12,-60,SFProText-Regular
Li,12,8,-60,SFProText-Regular
Lj,12,8,-60,SFProText-Regular
Lk,12,12,-60,SFProText-Regular
Ll,12,7,-60,SFProText-Regular
Lm,12,15,-60,SFProText-Regular
Ln,12,11,-60,SFProText-Regular
Lo,12,12,-60,SFProText-Regular
Lp,12,12,-60,SFProText-Regular
Lq,12,11,-60,SFProText-Regular
Lr,12,10,-60,SFProText-Regular
Ls,12,11,-60,SFProText-Regular
Lt,12,9,-60,SFProText-Regular
Lu,12,11,-60,SFProText-Regular
Lv,12,11,-60,SFProText-Regular
Lw,12,14,-60,SFProText-Regular
Lx,12,11,-60,SFProText-Regular
Ly,12,11,-60,SFProText-Regular
Lz,12,11,-60,SFProText-Regular
MA,12,17,-60,SFProText-Regular
MB,12,16,-60,SFProText-Regular
MC,12,17,-60,SFProText-Regular
MD,12,17,-60,SFProText-Regular
ME,12,15,-60,SFProText-Regular
MF,12,15,-60,SFProText-Regular
MG,12,17,-60,SFProText-Regular
MH,12,17,-60,SFProText-Regular
MI,12,11,-60,SFProText-Regular
MJ,12,15,-60,SFProText-Regular
MK,12,17,-60,SFProText-Regular
ML,12,15,-60,SFProText-Regular
MM,12,19,-60,SFProText-Regular
MN,12,17,-60,SFProText-Regular
MO,12,18,-60,SFProText-Regular
MP,12,16,-60,SFProText-Regular
MQ,12,18,-60,SFProText-Regular
MR,12,16,-60,SFProText-Regular
MS,12,16,-60,SFProText-Regular
MT,12,16,-60,SFProText-Regular
MU,12,17,-60,SFProText-Regular
MV,12,17,-60,SFProText-Regular
MW,12,20,-60,SFProText-Regular
MX,12,17,-60,SFProText-Regular
MY,12,17,-60,SFProText-Regular
MZ,12,16,-60,SFProText-Regular
Ma,12,15,-60,SFProText-Regular
Mb,12,16,-60,SFProText-Regular
Mc,12,15,-60,SFProText-Regular
Md,12,15,-60,SFProText-Regular
Me,12,15,-60,SFProText-Regular
Mf,12,13,-60,SFProText-Regular
Mg,12,15,-60,SFProText-Regular
Mh,12,15,-60,SFProText-Regular
Mi,12,11,-60,SFProText-Regular
Mj,12,11,-60,SFProText-Regular
Mk,12,15,-60,SFProText-Regular
Ml,12,11,-60,SFProText-Regular
Mm,12,19,-60,SFProText-Regular
Mn,12,15,-60,SFProText-Regular
Mo,12,16,-60,SFProText-Regular
Mp,12,16,-60,SFProText-Regular
Mq,12,15,-60,SFProText-Regular
Mr,12,13,-60,SFProText-Regular
Ms,12,15,-60,SFProText-Regular
Mt,12,13,-60,SFProText-Regular
Mu,12,15,-60,SFProText-Regular
Mv,12,15,-60,SFProText-Regular
Mw,12,18,-60,SFProText-Regular
Mx,12,15,-60,SFProText-Regular
My,12,15,-60,SFProText-Regular
Mz,12,15,-60,SFProText-Regular
NA,12,15,-60,SFProText-Regular
NB,12,15,-60,SFProText-Regular
NC,12,16,-60,SFProText-Regular
ND,12,16,-60,SFProText-Regular
NE,12,14,-60,SFProText-Regular
NF,12,14,-60,SFProText-Regular
NG,12,16,-60,SFProText-Regular
NH,12,15,-60,SFProText-Regular
NI,12,10,-60,SFProText-Regular
NJ,12,13,-60,SFProText-Regular
NK,12,15,-60,SFProText-Regular
NL,12,14,-60,SFProText-Regular
NM,12,17,-60,SFProText-Regular
NN,12,15,-60,SFProText-Regular
NO,12,16,-60,SFProText-Regular
NP,12,15,-60,SFProText-Regular
NQ,12,16,-60,SFProText-Regular
NR,12,15,-60,SFProText-Regular
NS,12,15,-60,SFProText-Regular
NT,12,15,-60,SFProText-Regular
NU,12,15,-60,SFProText-Regular
NV,12,15,-60,SFProText-Regular
NW,12,19,-60,SFProText-Regular
NX,12,15,-60,SFProText-Regular
NY,12,15,-60,SFProText-Regular
NZ,12,15,-60,SFProText-Regular
Na,12,13,-60,SFProText-Regular
Nb,12,14,-60,SFProText-Regular
Nc,12,14,-60,SFProText-Regular
Nd,12,14,-60,SFProText-Regular
Ne,12,14,-60,SFProText-Regular
Nf,12,12,-60,SFProText-Regular
Ng,12,14,-60,SFProText-Regular
Nh,12,14,-60,SFProText-Regular
Ni,12,10,-60,SFProText-Regular
Nj,12,10,-60,SFProText-Regular
Nk,12,14,-60,SFProText-Regular
Nl,12,10,-60,SFProText-Regular
Nm,12,17,-60,SFProText-Regular
Nn,12,14,-60,SFProText-Regular
No,12,14,-60,SFProText-Regular
Np,12,14,-60,SFProText-Regular
