AA,100,130,-60,SFProText-Semibold
AB,100,126,-60,SFProText-Semibold
AC,100,127,-60,SFProText-Semibold
AD,100,131,-60,SFProText-Semibold
AE,100,117,-60,SFProText-Semibold
AF,100,116,-60,SFProText-Semibold
AG,100,129,-60,SFProText-Semibold
AH,100,131,-60,SFProText-Semibold
AI,100,84,-60,SFProText-Semibold
AJ,100,112,-60,SFProText-Semibold
AK,100,129,-60,SFProText-Semibold
AL,100,116,-60,SFProText-Semibold
AM,100,143,-60,SFProText-Semibold
AN,100,130,-60,SFProText-Semibold
AO,100,132,-60,SFProText-Semibold
AP,100,123,-60,SFProText-Semibold
AQ,100,132,-60,SFProText-Semibold
AR,100,126,-60,SFProText-Semibold
AS,100,123,-60,SFProText-Semibold
AT,100,115,-60,SFProText-Semibold
AU,100,127,-60,SFProText-Semibold
AV,100,123,-60,SFProText-Semibold
AW,100,152,-60,SFProText-Semibold
AX,100,129,-60,SFProText-Semibold
AY,100,120,-60,SFProText-Semibold
AZ,100,123,-60,SFProText-Semibold
Aa,100,112,-60,SFProText-Semibold
Ab,100,122,-60,SFProText-Semibold
Ac,100,113,-60,SFProText-Semibold
Ad,100,115,-60,SFProText-Semibold
Ae,100,114,-60,SFProText-Semibold
Af,100,96,-60,SFProText-Semibold
Ag,100,115,-60,SFProText-Semibold
Ah,100,117,-60,SFProText-Semibold
Ai,100,83,-60,SFProText-Semibold
Aj,100,83,-60,SFProText-Semibold
Ak,100,119,-60,SFProText-Semibold
Al,100,83,-60,SFProText-Semibold
Am,100,147,-60,SFProText-Semibold
An,100,117,-60,SFProText-Semibold
Ao,100,116,-60,SFProText-Semibold
Ap,100,121,-60,SFProText-Semibold
Aq,100,116,-60,SFProText-Semibold
Ar,100,102,-60,SFProText-Semibold
As,100,112,-60,SFProText-Semibold
At,100,94,-60,SFProText-Semibold
Au,100,113,-60,SFProText-Semibold
Av,100,110,-60,SFProText-Semibold
Aw,100,135,-60,SFProText-Semibold
Ax,100,114,-60,SFProText-Semibold
Ay,100,111,-60,SFProText-Semibold
Az,100,111,-60,SFProText-Semibold
BA,100,122,-60,SFProText-Semibold
BB,100,118,-60,SFProText-Semibold
BC,100,122,-60,SFProText-Semibold
BD,100,123,-60,SFProText-Semibold
BE,100,109,-60,SFProText-Semibold
BF,100,108,-60,SFProText-Semibold
BG,100,124,-60,SFProText-Semibold
BH,100,123,-60,SFProText-Semibold
BI,100,76,-60,SFProText-Semibold
BJ,100,104,-60,SFProText-Semibold
BK,100,121,-60,SFProText-Semibold
BL,100,108,-60,SFProText-Semibold
BM,100,135,-60,SFProText-Semibold
BN,100,122,-60,SFProText-Semibold
BO,100,127,-60,SFProText-Semibold
BP,100,115,-60,SFProText-Semibold
BQ,100,127,-60,SFProText-Semibold
BR,100,118,-60,SFProText-Semibold
BS,100,115,-60,SFProText-Semibold
BT,100,115,-60,SFProText-Semibold
BU,100,121,-60,SFProText-Semibold
BV,100,121,-60,SFProText-Semibold
BW,100,150,-60,SFProText-Semibold
BX,100,121,-60,SFProText-Semibold
BY,100,118,-60,SFProText-Semibold
BZ,100,115,-60,SFProText-Semibold
Ba,100,105,-60,SFProText-Semibold
Bb,100,114,-60,SFProText-Semibold
Bc,100,108,-60,SFProText-Semibold
Bd,100,110,-60,SFProText-Semibold
Be,100,109,-60,SFProText-Semibold
Bf,100,90,-60,SFProText-Semibold
Bg,100,110,-60,SFProText-Semibold
Bh,100,109,-60,SFProText-Semibold
Bi,100,75,-60,SFProText-Semibold
Bj,100,75,-60,SFProText-Semibold
