,First,Second,Fontsize,Tracking,Distance,
,j,z,72,-36,32.0,
,n,z,72,-36,32.0,
,z,o,72,-36,32.0,
,p,z,72,-36,32.0,
,u,z,72,-36,32.0,
,k,z,70,40,32.0,
,s,z,70,40,32.0,
,d,z,66,-16,32.0,
,q,z,66,-16,32.0,
,d,z,58,40,32.0,
,g,z,58,40,32.0,
,z,p,58,40,32.0,
,q,z,58,40,32.0,
,h,z,64,20,32.0,
,z,q,64,20,32.0,
,u,z,64,20,32.0,
,z,y,64,20,32.0,
,m,z,46,40,32.0,
,z,p,68,-40,32.0,
,v,z,68,20,32.0,
,x,z,68,20,32.0,
,z,c,68,36,32.0,
,c,z,68,36,32.0,
,z,x,68,36,32.0,
,e,z,72,-4,32.0,
,v,z,72,-4,32.0,
,x,z,72,-4,32.0,
,y,z,72,-4,32.0,
,a,z,64,36,32.0,
,d,z,66,-28,32.0,
,m,z,54,-36,32.0,
,a,z,72,-20,32.0,
,o,z,72,-20,32.0,
,v,z,66,32,32.0,
,v,z,68,12,32.0,
,z,e,72,-8,32.0,
,v,z,72,-8,32.0,
,z,x,72,-8,32.0,
,y,z,72,-8,32.0,
,z,m,50,16,32.0,
,z,d,64,12,32.0,
,d,z,64,12,32.0,
,z,h,64,12,32.0,
,n,z,64,12,32.0,
,z,q,64,12,32.0,
,q,z,64,12,32.0,
,z,v,64,12,32.0,
,z,y,64,12,32.0,
,d,z,66,-24,32.0,
,q,z,66,-24,32.0,
,z,c,72,4,32.0,
,y,z,72,4,32.0,
,a,z,66,16,32.0,
,z,e,66,16,32.0,
,p,z,66,16,32.0,
,z,e,66,28,32.0,
,e,z,66,28,32.0,
,p,z,66,28,32.0,
,v,z,66,28,32.0,
,v,z,70,4,32.0,
,x,z,70,4,32.0,
,v,z,72,-12,32.0,
,x,z,72,-12,32.0,
,q,z,62,-12,32.0,
,z,p,66,-32,32.0,
,m,z,50,0,32.0,
,z,c,68,28,32.0,
,z,x,68,28,32.0,
,a,z,64,28,32.0,
,z,q,64,28,32.0,
,z,m,50,4,32.0,
,m,z,50,4,32.0,
,z,b,66,-36,32.0,
,z,p,66,-36,32.0,
,m,z,54,-28,32.0,
,x,z,70,0,32.0,
,d,z,62,-8,32.0,
,q,z,62,-8,32.0,
,a,z,66,12,32.0,
,z,d,66,12,32.0,
,z,e,66,12,32.0,
,p,z,66,12,32.0,
,z,q,66,12,32.0,
,w,z,58,-24,32.0,
,c,z,72,0,32.0,
,z,x,72,0,32.0,
,y,z,72,0,32.0,
,a,z,72,-28,32.0,
,b,z,72,-28,32.0,
,z,d,72,-28,32.0,
,h,z,72,-28,32.0,
,o,z,72,-28,32.0,
,z,q,72,-28,32.0,
,z,y,72,-28,32.0,
,a,z,70,-8,32.0,
,z,p,66,-20,32.0,
,q,z,66,-20,32.0,
,z,d,64,16,32.0,
,z,h,64,16,32.0,
,z,n,64,16,32.0,
,z,q,64,16,32.0,
,u,z,64,16,32.0,
,z,v,64,16,32.0,
,z,y,64,16,32.0,
,v,z,68,16,32.0,
,z,x,68,16,32.0,
,z,h,64,8,32.0,
,h,z,64,8,32.0,
,z,n,64,8,32.0,
,n,z,64,8,32.0,
,z,u,64,8,32.0,
,u,z,64,8,32.0,
,a,z,70,-16,32.0,
,b,z,70,-16,32.0,
,z,k,70,-16,32.0,
,z,q,70,-16,32.0,
,z,b,60,28,32.0,
,q,z,60,28,32.0,
,b,z,68,4,32.0,
,k,z,72,28,32.0,
,z,s,72,28,32.0,
,b,z,68,-12,32.0,
,z,d,68,-12,32.0,
,z,q,68,-12,32.0,
,z,v,68,-12,32.0,
,z,b,60,16,32.0,
,q,z,60,16,32.0,
,z,d,70,-28,32.0,
,p,z,70,-28,32.0,
,v,z,70,12,32.0,
,z,x,70,12,32.0,
,x,z,70,12,32.0,
,a,z,66,8,32.0,
,z,e,66,8,32.0,
,p,z,66,8,32.0,
,z,q,66,8,32.0,
,z,b,62,12,32.0,
,g,z,62,16,32.0,
,z,h,62,16,32.0,
,c,z,70,16,32.0,
,v,z,70,16,32.0,
,z,x,70,16,32.0,
,x,z,70,16,32.0,
,z,b,66,-40,32.0,
,z,p,66,-40,32.0,
,z,m,52,-8,32.0,
,z,b,62,8,32.0,
,q,z,62,8,32.0,
,q,z,60,12,32.0,
,b,z,68,-8,32.0,
,z,d,68,-8,32.0,
,z,q,68,-8,32.0,
,z,v,68,-8,32.0,
,y,z,72,12,32.0,
,p,z,68,-16,32.0,
,d,z,68,-28,32.0,
,q,z,68,-28,32.0,
,b,z,68,0,32.0,
,p,z,68,0,32.0,
,a,z,70,-12,32.0,
,z,d,70,-12,32.0,
,p,z,70,-12,32.0,
,z,v,70,-12,32.0,
,q,z,58,28,32.0,
,c,z,70,28,32.0,
,b,z,62,28,32.0,
,z,g,62,28,32.0,
,p,z,62,28,32.0,
,k,z,72,20,31.5,
,s,z,72,20,31.5,
,z,g,68,-24,31.5,
,z,h,68,-24,31.5,
,z,n,68,-24,31.5,
,n,z,68,-24,31.5,
,z,o,68,-24,31.5,
,o,z,68,-24,31.5,
,z,y,68,-24,31.5,
,z,b,64,-16,31.5,
,g,z,64,-16,31.5,
,z,p,64,-16,31.5,
,z,u,64,-16,31.5,
,z,w,50,40,31.5,
,w,z,50,40,31.5,
,d,z,60,20,31.5,
,z,g,70,-36,31.5,
,h,z,70,-36,31.5,
,z,n,70,-36,31.5,
,o,z,70,-36,31.5,
,u,z,70,-36,31.5,
,z,y,70,-36,31.5,
,g,z,58,24,31.5,
,g,z,60,4,31.5,
,z,m,48,20,31.5,
,m,z,48,20,31.5,
,a,z,62,24,31.5,
,z,h,62,24,31.5,
,z,n,62,24,31.5,
,z,o,62,24,31.5,
,z,u,62,24,31.5,
,u,z,62,24,31.5,
,z,v,62,24,31.5,
,z,g,64,0,31.5,
,g,z,64,0,31.5,
,z,o,64,0,31.5,
,x,z,66,40,31.5,
,a,z,62,32,31.5,
,z,n,62,32,31.5,
,z,o,62,32,31.5,
,p,z,62,32,31.5,
,z,q,62,32,31.5,
,z,u,62,32,31.5,
,z,v,62,32,31.5,
,b,z,66,0,31.5,
,z,g,66,0,31.5,
,n,z,66,0,31.5,
,o,z,66,0,31.5,
,z,y,66,0,31.5,
,z,m,48,36,31.5,
,z,w,52,-4,31.5,
,d,z,62,4,31.5,
,h,z,62,4,31.5,
,e,z,70,-20,31.5,
,z,g,70,-20,31.5,
,z,k,70,-20,31.5,
,o,z,70,-20,31.5,
,z,y,70,-20,31.5,
,f,t,56,-36,31.5,
,v,z,56,-36,31.5,
,z,n,60,36,31.5,
,n,z,60,36,31.5,
,z,u,60,36,31.5,
,u,z,60,36,31.5,
,z,o,64,-4,31.5,
,z,e,68,-4,31.5,
,e,z,68,-4,31.5,
,m,z,52,-16,31.5,
,z,b,64,-28,31.5,
,z,h,68,-32,31.5,
,z,n,68,-32,31.5,
,n,z,68,-32,31.5,
,z,u,68,-32,31.5,
,z,r,72,36,31.5,
,z,s,72,36,31.5,
,g,z,68,-36,31.5,
,z,h,68,-36,31.5,
,z,n,68,-36,31.5,
,z,o,68,-36,31.5,
,z,u,68,-36,31.5,
,z,s,72,32,31.5,
,m,z,52,-12,31.5,
,z,h,60,32,31.5,
,h,z,60,32,31.5,
,u,z,60,32,31.5,
,o,z,70,-24,31.5,
,z,y,70,-24,31.5,
,u,z,58,36,31.5,
,d,z,62,0,31.5,
,g,z,62,0,31.5,
,z,p,62,0,31.5,
,z,r,70,36,31.5,
,m,z,48,32,31.5,
,g,z,72,-40,31.5,
,j,z,72,-40,31.5,
,z,p,72,-40,31.5,
,b,z,66,4,31.5,
,n,z,66,4,31.5,
,o,z,66,4,31.5,
,u,z,66,4,31.5,
,z,y,66,4,31.5,
,a,z,62,36,31.5,
,z,u,62,36,31.5,
,z,v,62,36,31.5,
,z,y,62,36,31.5,
,b,z,66,-4,31.5,
,z,g,66,-4,31.5,
,h,z,66,-4,31.5,
,n,z,66,-4,31.5,
,u,z,66,-4,31.5,
,z,y,66,-4,31.5,
,z,g,64,4,31.5,
,z,k,64,4,31.5,
,z,o,64,4,31.5,
,z,n,62,20,31.5,
,n,z,62,20,31.5,
,z,o,62,20,31.5,
,z,u,62,20,31.5,
,u,z,62,20,31.5,
,g,z,58,20,31.5,
,z,c,64,40,31.5,
,z,e,64,40,31.5,
,z,g,70,-32,31.5,
,h,z,70,-32,31.5,
,z,n,70,-32,31.5,
,z,o,70,-32,31.5,
,o,z,70,-32,31.5,
,u,z,70,-32,31.5,
,d,z,60,24,31.5,
,h,z,60,24,31.5,
,n,z,60,24,31.5,
,u,z,60,24,31.5,
,g,z,64,-12,31.5,
,z,o,64,-12,31.5,
,z,e,68,8,31.5,
,y,z,68,8,31.5,
,z,r,72,24,31.5,
,s,z,72,24,31.5,
,a,z,68,-20,31.5,
,z,g,68,-20,31.5,
,z,n,68,-20,31.5,
,z,o,68,-20,31.5,
,z,u,68,-20,31.5,
,z,y,68,-20,31.5,
,d,z,62,-4,31.5,
,g,z,62,-4,31.5,
,h,z,62,-4,31.5,
,q,z,62,-4,31.5,
,z,e,70,-4,31.5,
,y,z,70,-4,31.5,
,z,h,70,-40,31.5,
,h,z,70,-40,31.5,
,z,n,70,-40,31.5,
,n,z,70,-40,31.5,
,z,o,70,-40,31.5,
,u,z,70,-40,31.5,
,z,e,64,32,31.5,
,z,w,52,8,31.5,
,w,z,52,8,31.5,
,z,m,50,20,31.5,
,a,z,60,40,31.5,
,z,h,60,40,31.5,
,h,z,60,40,31.5,
,z,n,60,40,31.5,
,o,z,60,40,31.5,
,u,z,60,40,31.5,
,z,v,60,40,31.5,
,b,z,64,24,31.5,
,e,z,64,24,31.5,
,o,z,64,24,31.5,
,v,z,56,-40,31.5,
,z,m,50,8,31.5,
,z,g,66,-12,31.5,
,z,h,66,-12,31.5,
,h,z,66,-12,31.5,
,z,n,66,-12,31.5,
,n,z,66,-12,31.5,
,z,o,66,-12,31.5,
,g,z,56,40,31.5,
,w,z,52,24,31.5,
,p,z,72,-32,31.5,
,z,w,54,-24,31.5,
,z,x,66,20,31.5,
,y,z,66,24,31.5,
,z,v,62,40,31.5,
,v,z,62,40,31.5,
,z,y,62,40,31.5,
,z,p,72,-36,31.5,
,w,z,52,20,31.5,
,z,g,66,-16,31.5,
,g,z,66,-16,31.5,
,z,n,66,-16,31.5,
,n,z,66,-16,31.5,
,z,u,66,-16,31.5,
,b,z,64,20,31.5,
,e,z,64,20,31.5,
,o,z,64,20,31.5,
,p,z,64,20,31.5,
,z,w,50,24,31.5,
,z,w,50,32,31.5,
,z,c,64,36,31.5,
,z,e,64,36,31.5,
,z,x,64,36,31.5,
,g,z,66,-28,31.5,
,z,h,66,-28,31.5,
,z,n,66,-28,31.5,
,m,z,50,-16,31.5,
,z,w,54,-36,31.5,
,c,z,72,8,31.5,
,z,d,72,-20,31.5,
,z,x,66,32,31.5,
,x,z,66,32,31.5,
,y,z,66,32,31.5,
,e,z,68,12,31.5,
,y,z,68,12,31.5,
,z,w,50,16,31.5,
,z,w,52,0,31.5,
,b,z,64,12,31.5,
,z,g,64,12,31.5,
,z,k,64,12,31.5,
,p,z,64,12,31.5,
,u,z,64,12,31.5,
,n,z,66,-24,31.5,
,z,u,66,-24,31.5,
,z,w,52,12,31.5,
,w,z,52,12,31.5,
,o,z,66,16,31.5,
,z,x,66,28,31.5,
,y,z,66,28,31.5,
,y,z,70,4,31.5,
,o,y,58,-36,31.5,
,z,e,72,-12,31.5,
,y,z,72,-12,31.5,
,z,b,62,-12,31.5,
,g,z,62,-12,31.5,
,z,p,62,-12,31.5,
,z,b,66,-32,31.5,
,g,z,66,-32,31.5,
,z,w,50,28,31.5,
,w,z,54,4,31.5,
,w,z,54,0,31.5,
,e,z,64,28,31.5,
,m,z,50,-20,31.5,
,z,b,62,-16,31.5,
,g,z,62,-16,31.5,
,z,w,54,-28,31.5,
,z,e,72,-16,31.5,
,z,e,70,0,31.5,
,y,z,70,0,31.5,
,g,z,62,-8,31.5,
,z,p,62,-8,31.5,
,z,y,66,12,31.5,
,z,w,54,-16,31.5,
,z,e,70,-8,31.5,
,z,w,52,16,31.5,
,z,h,66,-20,31.5,
,z,n,66,-20,31.5,
,n,z,66,-20,31.5,
,u,z,66,-20,31.5,
,b,z,64,16,31.5,
,z,k,64,16,31.5,
,p,z,64,16,31.5,
,z,w,52,4,31.5,
,w,z,52,4,31.5,
,z,m,50,12,31.5,
,y,z,68,16,31.5,
,b,z,64,8,31.5,
,z,g,64,8,31.5,
,z,k,64,8,31.5,
,z,o,64,8,31.5,
,o,z,64,8,31.5,
,z,m,48,28,31.5,
,m,z,48,28,31.5,
,z,e,70,-16,31.5,
,z,g,70,-16,31.5,
,z,h,60,28,31.5,
,h,z,60,28,31.5,
,n,z,60,28,31.5,
,z,u,60,28,31.5,
,z,m,52,-20,31.5,
,m,z,52,-20,31.5,
,z,e,68,4,31.5,
,a,z,68,-12,31.5,
,e,z,68,-12,31.5,
,z,g,68,-12,31.5,
,z,k,68,-12,31.5,
,o,z,68,-12,31.5,
,z,y,68,-12,31.5,
,w,z,54,12,31.5,
,m,z,50,-8,31.5,
,z,b,64,-20,31.5,
,g,z,64,-20,31.5,
,z,p,64,-20,31.5,
,n,z,60,16,31.5,
,z,g,70,-28,31.5,
,h,z,70,-28,31.5,
,z,o,70,-28,31.5,
,o,z,70,-28,31.5,
,m,z,48,16,31.5,
,o,z,66,8,31.5,
,b,z,66,-8,31.5,
,z,g,66,-8,31.5,
,h,z,66,-8,31.5,
,z,k,66,-8,31.5,
,n,z,66,-8,31.5,
,z,o,66,-8,31.5,
,o,z,66,-8,31.5,
,u,z,66,-8,31.5,
,n,z,62,12,31.5,
,u,z,62,12,31.5,
,h,z,62,16,31.5,
,z,u,62,16,31.5,
,u,z,62,16,31.5,
,m,z,48,12,31.5,
,z,w,52,-8,31.5,
,h,z,62,8,31.5,
,n,z,62,8,31.5,
,u,z,62,8,31.5,
,g,z,58,16,31.5,
,d,z,60,12,31.5,
,g,z,60,12,31.5,
,z,b,64,-8,31.5,
,z,o,64,-8,31.5,
,z,u,64,-8,31.5,
,a,z,68,-8,31.5,
,o,z,68,-8,31.5,
,z,y,68,-8,31.5,
,l,z,52,-32,31.5,
,z,p,64,-24,31.5,
,c,z,72,12,31.5,
,a,z,68,-16,31.5,
,z,g,68,-16,31.5,
,z,k,68,-16,31.5,
,z,y,68,-16,31.5,
,z,n,68,-28,31.5,
,n,z,68,-28,31.5,
,z,o,68,-28,31.5,
,z,p,64,-32,31.5,
,z,e,68,0,31.5,
,e,z,68,0,31.5,
,z,m,52,-24,31.5,
,m,z,52,-24,31.5,
,z,e,70,-12,31.5,
,e,z,70,-12,31.5,
,g,z,60,8,31.5,
,z,p,60,8,31.5,
,m,z,48,4,31.5,
,a,z,62,28,31.5,
,z,h,62,28,31.5,
,z,o,62,28,31.5,
,o,z,62,28,31.5,
,u,z,62,28,31.5,
,z,v,62,28,31.5,
,z,d,68,-24,31.0,
,p,z,68,-24,31.0,
,z,q,68,-24,31.0,
,z,v,68,-24,31.0,
,m,z,52,-28,31.0,
,d,z,64,-16,31.0,
,h,z,64,-16,31.0,
,q,z,64,-16,31.0,
,b,z,70,-36,31.0,
,z,d,70,-36,31.0,
,z,k,70,-36,31.0,
,p,z,70,-36,31.0,
,z,q,70,-36,31.0,
,z,v,70,-36,31.0,
,z,b,58,24,31.0,
,d,z,58,24,31.0,
,z,p,58,24,31.0,
,q,z,58,24,31.0,
,z,s,70,24,31.0,
,z,b,60,4,31.0,
,d,z,60,4,31.0,
,q,z,60,4,31.0,
,b,z,62,24,31.0,
,e,z,62,24,31.0,
,z,g,62,24,31.0,
,z,k,62,24,31.0,
,o,z,62,24,31.0,
,p,z,62,24,31.0,
,z,q,62,24,31.0,
,z,y,62,24,31.0,
,z,d,64,0,31.0,
,h,z,64,0,31.0,
,n,z,64,0,31.0,
,z,q,64,0,31.0,
,u,z,64,0,31.0,
,z,v,64,0,31.0,
,z,y,64,0,31.0,
,c,z,66,40,31.0,
,b,z,62,32,31.0,
,z,d,62,32,31.0,
,e,z,62,32,31.0,
,z,k,62,32,31.0,
,o,z,62,32,31.0,
,a,z,66,0,31.0,
,z,d,66,0,31.0,
,z,e,66,0,31.0,
,p,z,66,0,31.0,
,z,v,66,0,31.0,
,k,z,70,32,31.0,
,z,s,70,32,31.0,
,s,z,70,32,31.0,
,z,b,56,36,31.0,
,d,z,56,36,31.0,
,z,p,56,36,31.0,
,q,z,56,36,31.0,
,n,z,62,4,31.0,
,d,z,58,32,31.0,
,q,z,58,32,31.0,
,m,z,46,32,31.0,
,b,z,60,36,31.0,
,z,d,60,36,31.0,
,e,z,60,36,31.0,
,z,g,60,36,31.0,
,z,k,60,36,31.0,
,z,o,60,36,31.0,
,p,z,60,36,31.0,
,z,h,64,-4,31.0,
,h,z,64,-4,31.0,
,z,n,64,-4,31.0,
,n,z,64,-4,31.0,
,z,q,64,-4,31.0,
,z,u,64,-4,31.0,
,u,z,64,-4,31.0,
,z,v,64,-4,31.0,
,b,z,68,-4,31.0,
,d,z,64,-28,31.0,
,z,v,68,-32,31.0,
,z,f,72,36,31.0,
,e,z,68,-36,31.0,
,z,q,68,-36,31.0,
,q,z,68,-36,31.0,
,z,r,72,32,31.0,
,z,k,60,32,31.0,
,m,z,46,36,31.0,
,a,z,70,-24,31.0,
,b,z,70,-24,31.0,
,z,d,70,-24,31.0,
,p,z,70,-24,31.0,
,z,b,56,32,31.0,
,z,p,56,32,31.0,
,k,z,70,36,31.0,
,z,s,70,36,31.0,
,z,w,48,32,31.0,
,u,z,72,-40,31.0,
,a,z,66,4,31.0,
,z,e,66,4,31.0,
,p,z,66,4,31.0,
,z,d,62,36,31.0,
,o,z,62,36,31.0,
,a,z,66,-4,31.0,
,p,z,66,-4,31.0,
,z,v,66,-4,31.0,
,z,h,64,4,31.0,
,z,n,64,4,31.0,
,z,q,64,4,31.0,
,u,z,64,4,31.0,
,z,y,64,4,31.0,
,b,z,62,20,31.0,
,e,z,62,20,31.0,
,z,g,62,20,31.0,
,o,z,62,20,31.0,
,p,z,62,20,31.0,
,z,q,62,20,31.0,
,z,b,60,0,31.0,
,d,z,60,0,31.0,
,q,z,60,0,31.0,
,z,p,56,24,31.0,
,z,b,58,20,31.0,
,d,z,58,20,31.0,
,z,p,58,20,31.0,
,q,z,58,20,31.0,
,z,x,64,40,31.0,
,x,z,64,40,31.0,
,a,z,70,-32,31.0,
,z,d,70,-32,31.0,
,p,z,70,-32,31.0,
,z,q,70,-32,31.0,
,z,f,60,-32,31.0,
,m,z,46,20,31.0,
,p,z,60,24,31.0,
,z,h,64,-12,31.0,
,h,z,64,-12,31.0,
,z,n,64,-12,31.0,
,z,u,64,-12,31.0,
,z,v,64,-12,31.0,
,v,z,68,8,31.0,
,z,x,68,8,31.0,
,x,z,68,8,31.0,
,b,z,68,-20,31.0,
,z,d,68,-20,31.0,
,z,k,68,-20,31.0,
,p,z,68,-20,31.0,
,z,q,68,-20,31.0,
,z,v,68,-20,31.0,
,k,z,68,40,31.0,
,z,s,68,40,31.0,
,s,z,68,40,31.0,
,c,z,66,36,31.0,
,z,x,66,36,31.0,
,z,b,62,-4,31.0,
,v,z,72,-24,31.0,
,z,c,70,-4,31.0,
,v,z,70,-4,31.0,
,z,x,70,-4,31.0,
,x,z,70,-4,31.0,
,z,m,50,-12,31.0,
,m,z,50,-12,31.0,
,z,f,60,-40,31.0,
,b,z,70,-40,31.0,
,z,d,70,-40,31.0,
,z,q,70,-40,31.0,
,z,u,70,-40,31.0,
,z,v,70,-40,31.0,
,v,z,64,32,31.0,
,c,z,68,32,31.0,
,z,s,68,32,31.0,
,z,f,72,40,31.0,
,z,c,68,24,31.0,
,b,z,60,40,31.0,
,e,z,60,40,31.0,
,z,g,60,40,31.0,
,z,k,60,40,31.0,
,p,z,60,40,31.0,
,z,q,60,40,31.0,
,v,z,64,24,31.0,
,z,d,66,-12,31.0,
,z,k,66,-12,31.0,
,p,z,66,-12,31.0,
,z,q,66,-12,31.0,
,z,v,66,-12,31.0,
,d,z,56,40,31.0,
,q,z,56,40,31.0,
,w,z,48,40,31.0,
,z,k,72,-32,31.0,
,o,z,72,-32,31.0,
,v,z,72,-32,31.0,
,e,z,66,20,31.0,
,v,z,66,20,31.0,
,c,z,66,24,31.0,
,v,z,66,24,31.0,
,z,x,66,24,31.0,
,x,z,66,24,31.0,
,z,c,70,8,31.0,
,c,z,70,8,31.0,
,z,x,70,8,31.0,
,z,d,62,40,31.0,
,x,z,62,40,31.0,
,a,z,72,-36,31.0,
,b,z,72,-36,31.0,
,z,s,70,40,31.0,
,z,d,66,-16,31.0,
,z,q,66,-16,31.0,
,z,v,66,-16,31.0,
,a,z,64,20,31.0,
,z,b,54,40,31.0,
,d,z,68,-40,31.0,
,q,z,68,-40,31.0,
,z,c,68,20,31.0,
,c,z,68,20,31.0,
,z,x,68,20,31.0,
,s,z,68,36,31.0,
,z,c,72,-4,31.0,
,c,z,72,-4,31.0,
,v,z,64,36,31.0,
,y,z,64,36,31.0,
,d,z,60,-4,31.0,
,q,z,66,-28,31.0,
,d,z,62,-20,31.0,
,v,z,72,-20,31.0,
,z,c,66,32,31.0,
,z,x,68,12,31.0,
,x,z,68,12,31.0,
,z,c,72,-8,31.0,
,c,z,72,-8,31.0,
,a,z,64,12,31.0,
,c,z,72,4,31.0,
,e,z,66,16,31.0,
,v,z,66,16,31.0,
,z,c,66,28,31.0,
,z,c,70,4,31.0,
,z,x,70,4,31.0,
,z,x,72,-12,31.0,
,d,z,62,-12,31.0,
,m,z,50,-24,31.0,
,d,z,66,-32,31.0,
,q,z,66,-32,31.0,
,z,m,50,0,31.0,
,c,z,68,28,31.0,
,v,z,64,28,31.0,
,z,x,64,28,31.0,
,d,z,66,-36,31.0,
,q,z,66,-36,31.0,
,d,z,62,-16,31.0,
,q,z,62,-16,31.0,
,v,z,72,-16,31.0,
,y,z,72,-16,31.0,
,z,c,70,0,31.0,
,v,z,70,0,31.0,
,z,x,70,0,31.0,
,z,b,62,-8,31.0,
,e,z,66,12,31.0,
,x,z,66,12,31.0,
,z,c,72,0,31.0,
,e,z,72,-28,31.0,
,v,z,70,-8,31.0,
,z,x,70,-8,31.0,
,x,z,70,-8,31.0,
,z,d,66,-20,31.0,
,d,z,66,-20,31.0,
,z,q,66,-20,31.0,
,a,z,64,16,31.0,
,c,z,68,16,31.0,
,x,z,68,16,31.0,
,a,z,64,8,31.0,
,z,d,64,8,31.0,
,z,q,64,8,31.0,
,z,v,64,8,31.0,
,z,y,64,8,31.0,
,b,z,60,28,31.0,
,z,k,60,28,31.0,
,o,z,60,28,31.0,
,z,y,60,28,31.0,
,v,z,68,4,31.0,
,x,z,68,4,31.0,
,z,r,72,28,31.0,
,s,z,72,28,31.0,
,s,z,72,16,31.0,
,p,z,68,-12,31.0,
,l,z,52,-36,31.0,
,z,m,52,-36,31.0,
,d,z,64,-20,31.0,
,n,z,64,-20,31.0,
,q,z,64,-20,31.0,
,z,y,60,16,31.0,
,a,z,70,-28,31.0,
,b,z,70,-28,31.0,
,z,k,70,-28,31.0,
,z,q,70,-28,31.0,
,z,v,70,-28,31.0,
,z,c,70,12,31.0,
,c,z,70,12,31.0,
,z,d,66,-8,31.0,
,p,z,66,-8,31.0,
,z,q,66,-8,31.0,
,z,v,66,-8,31.0,
,b,z,62,12,31.0,
,z,k,62,12,31.0,
,z,u,62,12,31.0,
,z,y,62,12,31.0,
,e,z,62,16,31.0,
,z,k,62,16,31.0,
,z,c,70,16,31.0,
,q,z,66,-40,31.0,
,z,b,58,16,31.0,
,d,z,58,16,31.0,
,z,p,58,16,31.0,
,q,z,58,16,31.0,
,z,b,60,12,31.0,
,z,d,64,-8,31.0,
,d,z,64,-8,31.0,
,z,h,64,-8,31.0,
,h,z,64,-8,31.0,
,z,n,64,-8,31.0,
,n,z,64,-8,31.0,
,z,q,64,-8,31.0,
,q,z,64,-8,31.0,
,p,z,68,-8,31.0,
,s,z,72,12,31.0,
,b,z,68,-16,31.0,
,z,d,68,-16,31.0,
,z,q,68,-16,31.0,
,z,v,68,-16,31.0,
,b,z,68,-28,31.0,
,z,d,68,-28,31.0,
,e,z,68,-28,31.0,
,z,k,68,-28,31.0,
,z,q,68,-28,31.0,
,z,v,68,-28,31.0,
,v,z,68,0,31.0,
,m,z,46,28,31.0,
,v,z,70,-12,31.0,
,z,b,58,28,31.0,
,d,z,58,28,31.0,
,g,z,58,28,31.0,
,z,p,58,28,31.0,
,k,z,70,28,31.0,
,z,s,70,28,31.0,
,s,z,70,28,31.0,
,z,b,60,8,31.0,
,d,z,60,8,31.0,
,q,z,60,8,31.0,
,z,d,62,28,31.0,
,e,z,62,28,31.0,
,z,k,62,28,31.0,
,z,q,62,28,31.0,
,z,s,72,20,30.5,
,a,z,68,-24,30.5,
,u,z,68,-24,30.5,
,z,o,64,-16,30.5,
,z,h,60,20,30.5,
,h,z,60,20,30.5,
,z,n,60,20,30.5,
,n,z,60,20,30.5,
,z,u,60,20,30.5,
,u,z,60,20,30.5,
,z,o,70,-36,30.5,
,z,n,58,24,30.5,
,z,u,58,24,30.5,
,z,p,60,4,30.5,
,z,m,48,8,30.5,
,m,z,48,8,30.5,
,b,z,64,0,30.5,
,z,k,64,0,30.5,
,o,z,64,0,30.5,
,p,z,64,0,30.5,
,z,r,70,32,30.5,
,w,z,52,-4,30.5,
,g,z,56,36,30.5,
,z,n,62,4,30.5,
,z,u,62,4,30.5,
,u,z,62,4,30.5,
,z,v,62,4,30.5,
,h,z,58,32,30.5,
,z,n,58,32,30.5,
,n,z,58,32,30.5,
,u,z,58,32,30.5,
,z,e,70,-20,30.5,
,a,z,60,36,30.5,
,z,h,60,36,30.5,
,o,z,60,36,30.5,
,z,v,60,36,30.5,
,z,y,60,36,30.5,
,b,z,64,-4,30.5,
,z,g,64,-4,30.5,
,z,k,64,-4,30.5,
,p,z,64,-4,30.5,
,y,z,68,-4,30.5,
,t,g,64,-28,30.5,
,o,z,64,-28,30.5,
,t,z,64,-28,30.5,
,a,z,68,-32,30.5,
,z,g,68,-32,30.5,
,h,z,68,-32,30.5,
,z,o,68,-32,30.5,
,o,z,68,-32,30.5,
,u,z,68,-32,30.5,
,j,z,72,36,30.5,
,z,t,72,36,30.5,
,a,z,68,-36,30.5,
,z,g,68,-36,30.5,
,h,z,68,-36,30.5,
,n,z,68,-36,30.5,
,u,z,68,-36,30.5,
,z,m,50,-4,30.5,
,z,w,50,-4,30.5,
,w,z,52,-12,30.5,
,a,z,60,32,30.5,
,z,g,60,32,30.5,
,z,n,60,32,30.5,
,o,z,60,32,30.5,
,p,z,60,32,30.5,
,z,q,60,32,30.5,
,z,u,60,32,30.5,
,z,v,60,32,30.5,
,z,y,60,32,30.5,
,z,e,70,-24,30.5,
,e,z,70,-24,30.5,
,w,z,56,-32,30.5,
,z,h,58,36,30.5,
,h,z,58,36,30.5,
,z,n,58,36,30.5,
,n,z,58,36,30.5,
,g,z,56,32,30.5,
,z,h,62,0,30.5,
,h,z,62,0,30.5,
,z,n,62,0,30.5,
,n,z,62,0,30.5,
,u,z,62,0,30.5,
,a,z,72,-40,30.5,
,c,z,62,36,30.5,
,v,z,62,36,30.5,
,o,z,66,-4,30.5,
,b,z,64,4,30.5,
,o,z,64,4,30.5,
,p,z,64,4,30.5,
,a,z,62,20,30.5,
,z,h,62,20,30.5,
,z,v,62,20,30.5,
,z,w,54,-40,30.5,
,z,m,48,24,30.5,
,g,z,60,0,30.5,
,z,p,60,0,30.5,
,z,r,70,20,30.5,
,z,e,70,-32,30.5,
,z,y,70,-32,30.5,
,a,z,60,24,30.5,
,z,h,60,24,30.5,
